2007-12,3.07
2008-01,2.82
2008-02,2.17
2008-03,1.28
2008-04,1.31
2008-05,1.76
2008-06,1.89
2008-07,1.66
2008-08,1.75
2008-09,1.15
2008-10,0.69
2008-11,0.19
2008-12,0.03
2009-01,0.13
2009-02,0.30
2009-03,0.22
2009-04,0.16
2009-05,0.18
2009-06,0.18
2009-07,0.18
2009-08,0.17
2009-09,0.12
2009-10,0.07
2009-11,0.05
2009-12,0.05
2010-01,0.06
2010-02,0.11
2010-03,0.15
2010-04,0.16
2010-05,0.16
2010-06,0.12
2010-07,0.16
2010-08,0.16
2010-09,0.15
2010-10,0.13
2010-11,0.14
2010-12,0.14
2011-01,0.15
2011-02,0.13
2011-03,0.10
2011-04,0.06
2011-05,0.04
2011-06,0.04
2011-07,0.04
2011-08,0.02
2011-09,0.01
2011-10,0.02
2011-11,0.01
2011-12,0.01
2012-01,0.03
2012-02,0.09
2012-03,0.08
